workerid,proliferate.condition,age,comments,correct,education_level,enjoyment,gender,internal_node_id,key_press,native_language,response,rt,solution,stimulus,test_part,time_elapsed,total_score,trial_index,trial_type,understanding,experiment_id,participant_id,error
94,condition1,,,,,,,0.0-5.0-1.15,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,1258151,,36,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.16,,,"['quiet', 'and', 'take', 'a', 'minute']",,"['take', 'a', 'quiet', 'minute', 'and']",,test,1358578,7,37,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.16,,,,,,<p>Wrong.<p>,fixation,1362595,,38,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.17,,,"['lust', 'in', 'adventure', 'and', 'of']",,"['lust', 'of', 'adventure', 'and', 'in']",,test,1413721,7,39,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.17,,,,,,<p>Wrong.<p>,fixation,1417733,,40,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.18,,,"['shall', 'regard', 'as', 'having', 'them']",,"['shall', 'regard', 'them', 'as', 'having']",,test,1485963,7,41,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.18,,,,,,<p>Wrong.<p>,fixation,1489969,,42,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.19,,,"['its', 'coaling', 'company', 'has', 'paid']",,"['coaling', 'company', 'has', 'paid', 'its']",,test,1543133,7,43,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.19,,,,,,<p>Wrong.<p>,fixation,1547138,,44,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.20,,,"['the', 'south', 'upon', 'its', 'aggressions']",,"['aggressions', 'upon', 'the', 'south', 'its']",,test,1595553,7,45,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.20,,,,,,<p>Wrong.<p>,fixation,1599566,,46,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.21,,,"['the', 'concatenation', 'of', 'needed', 'circumstances']",,"['concatenation', 'of', 'circumstances', 'needed', 'the']",,test,1688025,7,47,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.21,,,,,,<p>Wrong.<p>,fixation,1692039,,48,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.22,,,"['it', 'was', 'so', 'not', 'with']",,"['it', 'was', 'not', 'so', 'with']",,test,1802600,7,49,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.22,,,,,,<p>Wrong.<p>,fixation,1806612,,50,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.23,,,"['he', 'had', 'to', 'be', 'taken']",,"['he', 'had', 'to', 'be', 'taken']",,test,1820942,8,51,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.23,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,1821944,,52,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.24,,,"['desperate', 'enemy', 'made', 'a', 'last']",,"['enemy', 'made', 'a', 'last', 'desperate']",,test,1835889,8,53,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.24,,,,,,<p>Wrong.<p>,fixation,1839893,,54,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.25,,,"['book', 'and', 'try', 'not', 'only']",,"['book', 'and', 'try', 'not', 'only']",,test,1865435,9,55,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.25,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,1866438,,56,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.26,,,"['can', 'thank', 'you', 'enough', 'for']",,"['can', 'thank', 'you', 'enough', 'for']",,test,1912741,10,57,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.26,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,1913744,,58,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.27,,,"['as', 'well', 'as', 'in', 'the']",,"['as', 'well', 'as', 'in', 'the']",,test,1958348,11,59,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.27,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,1959350,,60,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.28,,,"['the', 'ineptitudes', 'or', 'worse', 'thinks']",,"['ineptitudes', 'or', 'thinks', 'the', 'worse']",,test,2055802,11,61,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.28,,,,,,<p>Wrong.<p>,fixation,2059809,,62,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.29,,,"['human', 'nature', 'that', 'both', 'them']",,"['them', 'that', 'both', 'human', 'nature']",,test,2102078,11,63,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.29,,,,,,<p>Wrong.<p>,fixation,2106081,,64,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.30,,,"['you', 'will', 'come', 'to', 'me']",,"['you', 'will', 'come', 'to', 'me']",,test,2120746,12,65,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.30,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,2121751,,66,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.31,,,"['his', 'avaricious', 'unfeeling', 'and', 'imminently']",,"['imminently', 'his', 'avaricious', 'and', 'unfeeling']",,test,2180997,12,67,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.31,,,,,,<p>Wrong.<p>,fixation,2185003,,68,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.32,,,"['the', 'rest', 'of', 'the', 'world']",,"['the', 'rest', 'of', 'the', 'world']",,test,2206385,13,69,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.32,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,2207388,,70,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.33,,,"['author', 'and', 'shaper', 'of', 'environment']",,"['shaper', 'and', 'author', 'of', 'environment']",,test,2229563,13,71,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.33,,,,,,<p>Wrong.<p>,fixation,2233569,,72,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.34,,,"['vociferating', 'dreadful', 'oaths', 'to', 'hear']",,"['vociferating', 'oaths', 'dreadful', 'to', 'hear']",,test,2303652,13,73,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.34,,,,,,<p>Wrong.<p>,fixation,2308456,,74,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.35,,,"['his', 'views', 'summarize', 'as', 'he']",,"['summarize', 'his', 'views', 'as', 'he']",,test,2401944,13,75,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.35,,,,,,<p>Wrong.<p>,fixation,2405952,,76,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.36,,,"['though', 'never', 'notable', 'that', 'she']",,"['notable', 'that', 'though', 'she', 'never']",,test,2482483,13,77,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.36,,,,,,<p>Wrong.<p>,fixation,2486488,,78,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.37,,,"['is', 'most', 'famous', 'a', 'diligent']",,"['most', 'famous', 'is', 'a', 'diligent']",,test,2607471,13,79,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.37,,,,,,<p>Wrong.<p>,fixation,2611476,,80,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.38,,,"['and', 'you', 'will', 'not', 'be']",,"['and', 'you', 'will', 'not', 'be']",,test,2623913,14,81,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.38,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,2624917,,82,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.39,,,"['actions', 'alternately', 'our', 'moralities', 'shine']",,"['moralities', 'our', 'actions', 'shine', 'alternately']",,test,2700555,14,83,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.39,,,,,,<p>Wrong.<p>,fixation,2704561,,84,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.40,,,"['fielding', 'displayed', 'a', 'gentle', 'quiet']",,"['fielding', 'displayed', 'a', 'quiet', 'gentle']",,test,3023845,14,85,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.40,,,,,,<p>Wrong.<p>,fixation,3027852,,86,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.41,,,"['it', 'is', 'not', 'necessary', 'to']",,"['it', 'is', 'not', 'necessary', 'to']",,test,3042671,15,87,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.41,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,3043686,,88,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.42,,,"['corner', 'stood', 'and', 'was', 'in']",,"['stood', 'in', 'corner', 'and', 'was']",,test,3199290,15,89,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.42,,,,,,<p>Wrong.<p>,fixation,3203326,,90,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.43,,,"['and', 'it', 'was', 'just', 'as']",,"['and', 'it', 'was', 'just', 'as']",,test,3234200,16,91,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.43,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,3235211,,92,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,False,,,,0.0-5.0-0.44,,,"['some', 'comfort', 'and', 'are', 'my']",,"['are', 'my', 'comfort', 'and', 'some']",,test,3265449,16,93,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.44,,,,,,<p>Wrong.<p>,fixation,3269463,,94,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.45,,,"['be', 'able', 'to', 'believe', 'that']",,"['be', 'able', 'to', 'believe', 'that']",,test,3298023,17,95,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,,,,,0.0-5.0-1.45,,,,,,"<img src=""correct.png"" width=100</img><p>Correct!</p>",fixation,3299029,,96,html-keyboard-response,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
94,condition1,,,True,,,,0.0-5.0-0.46,,,"['with', 'no', 'obstruction', 'between', 'us']",,"['with', 'no', 'obstruction', 'between', 'us']",,test,3332762,18,97,cloze,,f1a4dc76-2a00-47fe-8d39-6f64085874d4,15227e1e-658e-4861-bc2d-e2a44eddba0d,
